DATE,QCAR628BIS
1970-01-01,37.8311
1970-04-01,37.6448
1970-07-01,37.6462
1970-10-01,38.9141
1971-01-01,39.0319
1971-04-01,38.9859
1971-07-01,38.159
1971-10-01,39.8488
1972-01-01,40.2095
1972-04-01,39.839
1972-07-01,39.5689
1972-10-01,41.1079
1973-01-01,42.4639
1973-04-01,43.7203
1973-07-01,45.6016
1973-10-01,49.0369
1974-01-01,52.978
1974-04-01,53.4987
1974-07-01,51.4804
1974-10-01,50.1517
1975-01-01,51.8548
1975-04-01,52.3004
1975-07-01,52.248000000000005
1975-10-01,53.3027
1976-01-01,54.8029
1976-04-01,54.6462
1976-07-01,53.9337
1976-10-01,55.1807
1977-01-01,54.5329
1977-04-01,53.3575
1977-07-01,52.0736
1977-10-01,52.4762
1978-01-01,51.2605
1978-04-01,51.5456
1978-07-01,50.2114
1978-10-01,51.7057
1979-01-01,52.3491
1979-04-01,52.0534
1979-07-01,50.8315
1979-10-01,51.882
1980-01-01,51.5226
1980-04-01,52.1706
1980-07-01,52.8118
1980-10-01,54.6438
1981-01-01,54.8542
1981-04-01,53.6903
1981-07-01,53.4509
1981-10-01,52.9157
1982-01-01,49.5161
1982-04-01,46.0158
1982-07-01,44.2012
1982-10-01,44.4621
1983-01-01,47.1679
1983-04-01,46.5135
1983-07-01,45.1901
1983-10-01,44.9424
1984-01-01,44.3727
1984-04-01,44.2574
1984-07-01,43.0821
1984-10-01,43.2853
1985-01-01,43.6946
1985-04-01,44.1885
1985-07-01,43.9854
1985-10-01,45.4922
1986-01-01,47.5212
1986-04-01,49.5088
1986-07-01,49.7694
1986-10-01,52.6687
1987-01-01,56.5687
1987-04-01,55.0976
1987-07-01,54.5118
1987-10-01,57.1106
1988-01-01,61.8635
1988-04-01,62.3817
1988-07-01,62.33
1988-10-01,66.8705
1989-01-01,72.6808
1989-04-01,65.2839
1989-07-01,65.8781
1989-10-01,69.1599
1990-01-01,66.9548
1990-04-01,61.886
1990-07-01,61.6099
1990-10-01,61.1962
1991-01-01,62.3542
1991-04-01,64.0992
1991-07-01,60.1284
1991-10-01,60.952
1992-01-01,61.716
1992-04-01,61.8731
1992-07-01,61.7534
1992-10-01,62.8147
1993-01-01,62.9087
1993-04-01,62.7859
1993-07-01,61.1621
1993-10-01,61.6046
1994-01-01,64.7248
1994-04-01,64.4107
1994-07-01,63.0504
1994-10-01,63.6056
1995-01-01,61.2738
1995-04-01,59.2381
1995-07-01,59.6939
1995-10-01,59.766999999999996
1996-01-01,58.798
1996-04-01,59.5875
1996-07-01,58.6783
1996-10-01,58.6631
1997-01-01,59.0256
1997-04-01,60.3339
1997-07-01,59.1288
1997-10-01,59.0969
1998-01-01,58.2239
1998-04-01,58.5759
1998-07-01,57.3501
1998-10-01,58.0607
1999-01-01,58.2262
1999-04-01,59.8531
1999-07-01,58.9292
1999-10-01,59.5718
2000-01-01,59.5666
2000-04-01,60.1943
2000-07-01,59.5032
2000-10-01,59.7125
2001-01-01,59.4261
2001-04-01,60.9489
2001-07-01,61.0577
2001-10-01,62.4284
2002-01-01,64.7261
2002-04-01,66.2815
2002-07-01,65.0274
2002-10-01,66.7602
2003-01-01,67.2887
2003-04-01,69.6176
2003-07-01,70.8173
2003-10-01,72.7775
2004-01-01,73.63
2004-04-01,76.1747
2004-07-01,74.2426
2004-10-01,76.7493
2005-01-01,79.1744
2005-04-01,80.4731
2005-07-01,81.3126
2005-10-01,82.4144
2006-01-01,85.2948
2006-04-01,88.6685
2006-07-01,91.03200000000001
2006-10-01,91.9161
2007-01-01,93.98200000000001
2007-04-01,96.6781
2007-07-01,98.8232
2007-10-01,99.1486
2008-01-01,100.2996
2008-04-01,98.863
2008-07-01,95.8351
2008-10-01,93.3719
2009-01-01,90.6868
2009-04-01,91.944
2009-07-01,95.0835
2009-10-01,97.68299999999999
2010-01-01,100.2859
2010-04-01,101.3623
2010-07-01,99.6792
2010-10-01,98.6908
2011-01-01,100.68
2011-04-01,102.6874
2011-07-01,103.8639
2011-10-01,103.8513
2012-01-01,105.6187
2012-04-01,106.9901
2012-07-01,106.0786
2012-10-01,104.7195
2013-01-01,105.413
2013-04-01,106.9856
2013-07-01,107.2914
2013-10-01,107.8609
2014-01-01,109.2396
2014-04-01,110.2564
2014-07-01,110.8268
2014-10-01,111.7682
2015-01-01,114.6137
2015-04-01,117.2995
2015-07-01,119.1455
2015-10-01,121.1221
2016-01-01,127.3067
2016-04-01,134.0196
2016-07-01,137.8691
2016-10-01,138.6192
2017-01-01,146.8013
2017-04-01,154.2387
2017-07-01,156.0684
2017-10-01,155.0951
2018-01-01,154.5492
2018-04-01,155.2582
2018-07-01,154.8225
2018-10-01,154.6885
2019-01-01,152.9882
2019-04-01,152.2856
2019-07-01,152.1691
2019-10-01,154.0009
2020-01-01,156.6826
2020-04-01,160.8856
2020-07-01,162.2484
2020-10-01,165.5767
2021-01-01,167.9708
2021-04-01,176.6351
2021-07-01,178.3082
2021-10-01,180.1365
2022-01-01,199.3027
2022-04-01,189.408
2022-07-01,171.1014
2022-10-01,162.47
2023-01-01,161.6496
2023-04-01,167.2461
2023-07-01,164.9654
2023-10-01,158.5113
2024-01-01,158.7372